group,Other,Western Pacific,Africa,Eastern Mediterranean,South East Asia,Europe,Americas
20-Jun-21,0,16414,20230,29707,80202,44153,164528
20-Jun-21,0,14825,20533,30886,71861,43970,114681
20-Jun-21,0,13954,20890,33055,79685,52144,103081
20-Jun-21,0,15457,28083,33449,89408,62327,177668
20-Jun-21,0,18071,30513,34454,84804,62166,217846
20-Jun-21,0,19162,26933,32027,82301,61161,182457
27-Jun-21,0,18684,30501,27610,84983,62051,179548
27-Jun-21,0,17634,23036,28940,85421,56117,155555
27-Jun-21,0,15960,21049,32343,75373,63683,107034
27-Jun-21,0,16276,22478,37108,86965,72093,111581
,,,,,,,
,,,,,,,
,,,,,,,
